Symbol,correlation
DOT-USD,0.7787022497259874
ALGO-USD,0.7391884892014698
LINK-USD,0.7373654352593745
THETA-USD,0.7304496559016316
SOL-USD,0.7294735408570864
ATOM-USD,0.7290700069669533
VET-USD,0.7273002059652769
AXS-USD,0.7244833456016118
MANA-USD,0.7182346040222987
ADA-USD,0.7126700603025502
ETC-USD,0.708010655189521
ETH-USD,0.7031416870112901
BTC-USD,0.6898036591990295
DOGE-USD,0.6885279264941492
CRV-USD,0.6538224819708128
AAVE-USD,0.651878634040569
XTZ-USD,0.6344901031070712
FIL-USD,0.633132921842421
LTC-USD,0.6311032385036904
EOS-USD,0.6306964795852624
ICP-USD,0.6306803465988614
BNB-USD,0.5634577799874669
XRP-USD,0.5358619926430358
BCH-USD,0.512204525319483
XLM-USD,0.5098287128116197
SHIB-USD,0.5088266331107275
DASH-USD,0.4842841175417759
MKR-USD,0.44087340395488683
XMR-USD,0.3765847362506492
