Symbol,correlation
ETC-USD,0.8235258521180268
BTC-USD,0.7943013905137285
AAVE-USD,0.7416030462177207
DOGE-USD,0.7298446858803445
LINK-USD,0.727657518338181
DOT-USD,0.726780744575917
THETA-USD,0.7255136668462296
AXS-USD,0.7084192646866058
ADA-USD,0.7073701670392588
AVAX-USD,0.7031416870112901
SOL-USD,0.6995797585936581
MANA-USD,0.6965664547808199
ATOM-USD,0.6904250168497699
VET-USD,0.6901731826214834
CRV-USD,0.6780349676792382
ALGO-USD,0.670780908068134
BNB-USD,0.6496695233207166
LTC-USD,0.644344353858472
XTZ-USD,0.6327544520456616
FIL-USD,0.6233870403887104
EOS-USD,0.6037358384492231
ICP-USD,0.5671453626795352
BCH-USD,0.557045258882477
XRP-USD,0.5458475887031567
MKR-USD,0.541202833703577
SHIB-USD,0.5157733911723305
XLM-USD,0.5122789663926666
DASH-USD,0.5102431401951916
XMR-USD,0.38087528232980694
