Symbol,correlation
AVAX-USD,0.7294735408570864
BTC-USD,0.7194192936487358
ETH-USD,0.6995797585936581
DOT-USD,0.6806149233782203
ADA-USD,0.6788287108825194
THETA-USD,0.6648378204787845
LINK-USD,0.6573983928010173
ETC-USD,0.6472973646400958
ALGO-USD,0.6467416368162017
AXS-USD,0.6462855705252116
MANA-USD,0.6444034840791925
DOGE-USD,0.6423921052007525
VET-USD,0.6372049391355603
ATOM-USD,0.6335641488895404
AAVE-USD,0.6051686140044454
CRV-USD,0.5758437122125021
BNB-USD,0.5734428841866069
XTZ-USD,0.5603972822373695
EOS-USD,0.5560290076528523
LTC-USD,0.5426159691103448
FIL-USD,0.5425353760747401
XRP-USD,0.5263267898178804
ICP-USD,0.5188304627459066
BCH-USD,0.47930531409977695
XLM-USD,0.47698930257466604
SHIB-USD,0.4681059405741122
DASH-USD,0.4340697961135511
MKR-USD,0.4011457022544593
XMR-USD,0.33663346495409396
