Symbol,correlation
DOT-USD,0.7736710226086924
ALGO-USD,0.7311699162131198
LINK-USD,0.7297731775085661
ATOM-USD,0.723792453486811
THETA-USD,0.7210283908862122
VET-USD,0.7170115352113888
AXS-USD,0.7164606402075925
SOL-USD,0.7039649138480926
ADA-USD,0.7026789030963736
ETH-USD,0.7001098446235099
MANA-USD,0.6942188631198365
ETC-USD,0.6916379109482554
BTC-USD,0.6837761199810679
DOGE-USD,0.6797849524201298
AAVE-USD,0.6516027273094485
CRV-USD,0.6444885592877188
ICP-USD,0.6313675252475597
XTZ-USD,0.6309806961327494
EOS-USD,0.6261231654953192
LTC-USD,0.6252313137884312
FIL-USD,0.6219725899773848
BNB-USD,0.563681595608331
XRP-USD,0.5354584976487645
BCH-USD,0.5107399152415154
XLM-USD,0.5039582972043104
SHIB-USD,0.5020203573814032
DASH-USD,0.49653647880920354
MKR-USD,0.4417873481094979
XMR-USD,0.39135845385313145
