Symbol,correlation
ETH-USD,0.7942714990482449
DOGE-USD,0.7331672395210505
SOL-USD,0.7026356488396576
AVAX-USD,0.6837761199810679
ETC-USD,0.6783248925511652
VET-USD,0.6748061402750999
THETA-USD,0.6702484365872565
ADA-USD,0.6684829661620146
DOT-USD,0.6677502056737874
ALGO-USD,0.6511944705876855
MANA-USD,0.6510131627309346
AXS-USD,0.6506544324285061
LINK-USD,0.649795478659466
ATOM-USD,0.6350698874704781
BNB-USD,0.6337129345563026
AAVE-USD,0.6184306734664659
CRV-USD,0.5961543002374914
LTC-USD,0.5955704671300455
BCH-USD,0.5879790192803357
XTZ-USD,0.5869493934268628
FIL-USD,0.5756064611079954
EOS-USD,0.5674907592370076
ICP-USD,0.5519579699208619
XRP-USD,0.5178091138084727
SHIB-USD,0.5099612437736771
DASH-USD,0.48205187880214484
XLM-USD,0.4786431890965008
MKR-USD,0.4491237116570102
XMR-USD,0.3952310256006884
