Symbol,correlation
XLM-USD,0.78550092014669
ADA-USD,0.6930807208960632
ALGO-USD,0.6394321913633109
DOT-USD,0.5668495047893015
LINK-USD,0.5603813523858705
VET-USD,0.5546956499672896
EOS-USD,0.5480350393567736
ATOM-USD,0.5478217456979917
LTC-USD,0.5476633868267125
ETH-USD,0.5442730463526867
ETC-USD,0.5393853735796377
MANA-USD,0.5367062952494696
AVAX-USD,0.5354584976487645
DOGE-USD,0.53110131506507
AXS-USD,0.5296228838134983
BTC-USD,0.5178091138084727
THETA-USD,0.5129896460508556
SOL-USD,0.508721290197884
XTZ-USD,0.503196966724052
CRV-USD,0.4875619895185681
AAVE-USD,0.47047139672049704
FIL-USD,0.45867585650063675
ICP-USD,0.43590495857860895
BNB-USD,0.40428104125610176
DASH-USD,0.40171731781122233
BCH-USD,0.37538730943854337
SHIB-USD,0.3490212275787541
MKR-USD,0.28198917601051465
XMR-USD,0.2743182167644819
