symbol,cluster,pca_1,pca_2
AAVE-USD,0,-1.2759425685970496,-0.46697615705333495
ADA-USD,0,-1.6523639368332375,0.6438550269856506
ALGO-USD,2,-1.8714213854779518,1.1428184099346461
ATOM-USD,2,-1.5007389603259287,-0.48537673763633293
AVAX-USD,2,-1.7324575393581232,0.9545363672505495
AXS-USD,2,-2.1498846519732417,1.893426340601188
BCH-USD,0,-1.0171646783149768,-1.2220722999528586
BNB-USD,3,0.764712783095331,-6.6466620525892885
BTC-USD,1,38.426560777016654,1.7307231644328456
CRV-USD,2,-2.4547260905395696,3.1217535084091423
DASH-USD,2,-2.1481319860113457,1.9940682998082602
DOGE-USD,0,-1.3153506062255016,0.21644768765122988
DOT-USD,2,-1.457600131034706,-0.34972137792716296
EOS-USD,2,-2.0308621003271377,1.4873055719867787
ETC-USD,3,-1.103719367309653,-1.9316091829509319
ETH-USD,3,3.1163020606992013,-4.812683275731057
FIL-USD,2,-2.744924662771458,4.012704872191992
ICP-USD,2,-2.2556072962031344,2.3881800256656884
LINK-USD,0,-1.219797615405303,-0.8913997849323411
LTC-USD,3,-0.8974605513679419,-2.391065367330186
MANA-USD,2,-1.945602879427911,1.3099586254611264
MKR-USD,0,-0.4787481615327174,-0.27046485119222574
SHIB-USD,2,-2.2906945942452306,3.4815606630813387
SOL-USD,0,-0.6732124065654294,-1.2590978359970115
THETA-USD,2,-2.222674399871781,2.2834173118917565
VET-USD,2,-1.7938909486423815,0.688005651581603
XLM-USD,0,-1.6023140252499124,0.21681446325906512
XMR-USD,3,-0.1272570704255484,-5.322499262069492
XRP-USD,0,-0.7352493262509694,-1.3737256787851162
XTZ-USD,2,-1.609777680523048,-0.14222212604552423
