lag,value
0,1.0
1,0.9919891786591283
2,0.039013366871868974
3,-0.03429139642039391
4,0.015835005614174762
5,-0.010758113365416063
6,0.027544910444586488
7,-0.017665005808712858
8,0.009231693683077911
9,0.051934436834193944
10,0.007743526470018102
11,-0.01546420077536763
12,-0.012005274355125892
13,-0.010990572696585744
14,0.02938659079850747
15,-0.017132855487032392
16,0.011983517426525788
17,0.014897040875757498
18,0.03044332298825724
19,-0.036284914127412186
20,0.04626423088542653
21,0.0030353308363224624
22,0.008068577010260406
23,-0.005062631993593609
24,0.0246992954768009
25,0.029682703455477622
26,-0.0724346388743248
27,-0.013358194699866223
28,-0.05089851103180849
29,-0.02912961149002914
30,-0.055963893112037484
31,0.03051309904102965
32,0.005830437468223903
33,0.08037751599024359
34,-0.030309935482524576
35,0.05517712498015786
36,-0.03903364853297159
37,0.014132413237605205
38,-0.02274814411787786
39,-0.019123023864476004
40,0.014145984533137678
