lag,value
0,1.0
1,0.9973567550252265
2,0.9948382639043131
3,0.9923959067160153
4,0.9899773531806348
5,0.9875516978984669
6,0.9850900421675176
7,0.9826592456935679
8,0.9801078918038099
9,0.9777092333814361
10,0.9754326609197931
11,0.9729741955376655
12,0.9705116480307454
13,0.9681836307999739
14,0.9656529904182202
15,0.9630938693465843
16,0.960651718550835
17,0.9582315450019184
18,0.9556845711975122
19,0.9532395156364081
20,0.9508000179275286
21,0.9483954175600516
22,0.94578723926528
23,0.9432139274616838
24,0.9406512100814951
25,0.9378717880762976
26,0.9349779097252087
27,0.9320955219237883
28,0.9290118232225006
29,0.925894219201391
30,0.9227603876726517
31,0.9195234921923707
32,0.9162119718402141
33,0.9128699304203443
34,0.9096429512553523
35,0.9065302728468414
36,0.9033140435713922
37,0.9002169550526621
38,0.8970564410380522
39,0.8938335111303003
40,0.8906760637772877
