lag,value
0,1.0
1,0.9873864866588073
2,0.9751027858879434
3,0.9620997571194216
4,0.9491252104425181
5,0.9361192264184242
6,0.923277176628904
7,0.910301610770757
8,0.8967633737699734
9,0.885002273683547
10,0.8717664875435233
11,0.8583843518827254
12,0.8442757223712292
13,0.8287377569749622
14,0.8134026784605367
15,0.797621740794617
16,0.7837859784801378
17,0.7711522339123282
18,0.7584950839626752
19,0.7447888580687022
20,0.7302733315842672
21,0.71593869024187
22,0.7022229496092661
23,0.6876970691917696
24,0.6733268057291223
25,0.6583308156360905
26,0.6424387421266723
27,0.6276351354258177
28,0.6132740821344245
29,0.5969291943959317
30,0.5809049934037577
31,0.5661419104567265
32,0.5499781464790989
33,0.5345880615137445
34,0.5203529407935065
35,0.5065308172730005
36,0.4936260081944506
37,0.4814544078029701
38,0.4680699217596108
39,0.4560386866303862
40,0.44457523322737885
