lag,value
0,1.0
1,0.987386486658807
2,0.0068099711068521935
3,-0.034745908410479996
4,-0.006228896802259803
5,-0.007088689713292521
6,-0.00023395521557467914
7,-0.011795609054066403
8,-0.029772668590958156
9,0.0636309943734032
10,-0.06247340787998062
11,-0.018106212941502144
12,-0.03330107483801901
13,-0.0658723790533952
14,0.0013444221540128843
15,-0.02467708170037883
16,0.0665855985380326
17,0.05098858671322238
18,-0.01938479470179521
19,-0.04832947343044041
20,-0.04365922872245259
21,-0.0041527945935828
22,0.027782017674093686
23,-0.04573776652363627
24,0.009395509446484238
25,-0.029720784691463255
26,-0.0536221614552319
27,0.02932091650608154
28,-0.0017356590743620695
29,-0.09110301139018921
30,0.007097373500123508
31,0.04734189671966071
32,-0.0480560247153919
33,0.015946226970845693
34,0.027558240134646306
35,0.011408877173552849
36,0.024761287953238065
37,0.01905781347742206
38,-0.048952462856698416
39,0.04688816238324897
40,0.0049643824878265325
