lag,value
0,1.0
1,0.9942423477484177
2,0.9874123395193585
3,0.9806852397047878
4,0.97394706886656
5,0.967107701245228
6,0.9604686068503158
7,0.9542466103123025
8,0.9470211393138592
9,0.9401353232485034
10,0.9333457465740324
11,0.9261982764731799
12,0.9184592489730774
13,0.9108334272672954
14,0.902857275966573
15,0.8942573290655548
16,0.886432059646061
17,0.8791735769880258
18,0.8715271646178764
19,0.8636718332788617
20,0.8552233100856348
21,0.8469928952027047
22,0.8387123143247136
23,0.830598259588458
24,0.8222891127453624
25,0.8129632891002526
26,0.8034788820428765
27,0.7936615634057602
28,0.7839766361382294
29,0.7745563949692794
30,0.7658480952357202
31,0.7572944245230401
32,0.748103441877517
33,0.7390242615958795
34,0.7302378259317718
35,0.7222298765337337
36,0.7139132788344614
37,0.7056380607367383
38,0.697722984811344
39,0.6907716367832272
40,0.6844460647678913
