date,symbol,volume,volume_ma_30,close
2022-12-11,BNB-USD,496833486.0,496833486.0,284.3904113769531
2022-12-12,BNB-USD,974762447.0,735797966.5,276.2781982421875
2022-12-13,BNB-USD,1925504273.0,1132366735.3333333,271.9516906738281
2022-12-14,BNB-USD,1026628081.0,1105932071.75,268.2315368652344
2022-12-15,BNB-USD,709349174.0,1026615492.2,258.2737121582031
2022-12-16,BNB-USD,1264053277.0,1066188456.3333334,231.23243713378903
2022-12-17,BNB-USD,1196953526.0,1084869180.5714285,242.5292816162109
2022-12-18,BNB-USD,925487110.0,1064946421.75,251.1563873291016
2022-12-19,BNB-USD,751196285.0,1030085295.4444444,240.6578063964844
2022-12-20,BNB-USD,667866377.0,993863403.6,251.7445373535156
2022-12-21,BNB-USD,479296549.0,947084598.6363636,246.04698181152344
2022-12-22,BNB-USD,543367184.0,913441480.75,245.890625
2022-12-23,BNB-USD,388929772.0,873094426.2307693,246.148178100586
2022-12-24,BNB-USD,280627376.0,830775351.2142857,244.63552856445312
2022-12-25,BNB-USD,298063868.0,795261252.3333334,243.14149475097656
2022-12-26,BNB-USD,276115280.0,762814629.0625,244.1982879638672
2022-12-27,BNB-USD,391342277.0,740963314.2352941,246.5966796875
2022-12-28,BNB-USD,414698978.0,722837517.7777778,244.1419219970703
2022-12-29,BNB-USD,345312528.0,702967781.4736842,246.479721069336
2022-12-30,BNB-USD,342300809.0,684934432.85,245.7792205810547
2022-12-31,BNB-USD,307551853.0,666963833.8095238,246.3491973876953
2023-01-01,BNB-USD,278651737.0,649313283.9545455,244.1369781494141
2023-01-02,BNB-USD,357733262.0,636635891.6956521,245.5359039306641
2023-01-03,BNB-USD,377452410.0,625836579.9583334,246.13336181640625
2023-01-04,BNB-USD,632924961.0,626120115.2,259.11968994140625
2023-01-05,BNB-USD,342934041.0,615228343.1153846,256.4228515625
2023-01-06,BNB-USD,417893264.0,607919636.4814814,259.8671569824219
2023-01-07,BNB-USD,327712514.0,597912239.25,261.2828369140625
2023-01-08,BNB-USD,491734030.0,594250921.6896552,274.38507080078125
2023-01-09,BNB-USD,783671054.0,600564926.1,272.7015380859375
2023-01-10,BNB-USD,470259383.0,599679122.6666666,277.2896423339844
2023-01-11,BNB-USD,466458216.0,582735648.3,285.0465087890625
2023-01-12,BNB-USD,655903255.0,540415614.3666667,287.8123474121094
2023-01-13,BNB-USD,561853825.0,524923139.1666667,293.7330017089844
2023-01-14,BNB-USD,1087358891.0,537523463.0666667,305.2411193847656
2023-01-15,BNB-USD,562889882.0,514151349.9,302.0706481933594
2023-01-16,BNB-USD,602126315.0,494323776.2,298.9992370605469
2023-01-17,BNB-USD,529752305.0,481132616.03333336,299.82452392578125
2023-01-18,BNB-USD,844268123.0,484235010.6333333,286.9910583496094
2023-01-19,BNB-USD,431382130.0,476352202.4,294.8522033691406
2023-01-20,BNB-USD,669836014.0,482703517.9,304.9731750488281
2023-01-21,BNB-USD,755028964.0,489758910.56666666,299.2611694335937
2023-01-22,BNB-USD,571771274.0,495853627.3,303.04644775390625
2023-01-23,BNB-USD,520678637.0,503855336.0,305.50408935546875
2023-01-24,BNB-USD,887528741.0,523504165.1,300.6123352050781
2023-01-25,BNB-USD,667706772.0,536557214.8333333,307.3076477050781
2023-01-26,BNB-USD,540954388.0,541544285.2,304.8665466308594
2023-01-27,BNB-USD,484897937.0,543884250.5,308.12310791015625
2023-01-28,BNB-USD,434715822.0,546864360.3,306.24432373046875
2023-01-29,BNB-USD,664644693.0,557609156.4333333,317.3362121582031
2023-01-30,BNB-USD,630938594.0,568388714.4666667,307.0688781738281
2023-01-31,BNB-USD,487472184.0,575349396.0333333,312.3610534667969
2023-02-01,BNB-USD,616638893.0,583979583.7333333,317.4725952148437
2023-02-02,BNB-USD,909077028.0,601700404.3333334,323.34979248046875
2023-02-03,BNB-USD,861598551.0,609322857.3333334,332.2686767578125
2023-02-04,BNB-USD,440935963.0,612589588.0666667,330.6170959472656
2023-02-05,BNB-USD,662969265.0,620758788.1,327.8693542480469
2023-02-06,BNB-USD,521894604.0,627231524.4333333,324.6271667480469
2023-02-07,BNB-USD,521804212.0,628233863.8333334,333.2278747558594
2023-02-08,BNB-USD,515127902.0,619282425.4333333,328.0886535644531
2023-02-09,BNB-USD,778492045.0,629556847.5,305.9604187011719
