Date,Symbol,Open,High,Low,Close,Volume
2023-01-15,SHIB-USD,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,400585139
2023-01-16,SHIB-USD,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,405517494
2023-01-17,SHIB-USD,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,250210750
2023-01-18,SHIB-USD,1.1000000085914508e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,1460356847
2023-01-19,SHIB-USD,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,400204465
2023-01-20,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,387155910
2023-01-21,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,498671144
2023-01-22,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,379150200
2023-01-23,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,263047877
2023-01-24,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,275464907
2023-01-25,SHIB-USD,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,289308795
2023-01-26,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,224253546
2023-01-27,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,200955714
2023-01-28,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,320151728
2023-01-29,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,225732341
2023-01-30,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,300495992
2023-01-31,SHIB-USD,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,306240450
