Symbol,Model,MAE,RMSE,MAPE (%),R2
BTC-USD,Random Forest,913.4432372333416,1299.1190900156435,1.382917413281224,0.9982462452584561
BTC-USD,ARIMA,1163.1311477171635,1840.1047166964859,1.793115950063837,0.9964815125513781
BTC-USD,LSTM,2057.0053203804346,2842.383061051314,3.1011592504567447,0.9913237824925083
BTC-USD,Prophet,4440.042366972654,5606.005972841693,6.709190688503211,0.9673428680268384
ETH-USD,Random Forest,51.17073299785495,73.26792940924538,1.8460287934529709,0.9920319020362806
ETH-USD,ARIMA,65.0277036999232,107.53237445282225,2.3755874253441145,0.9828365219234888
ETH-USD,LSTM,87.72058621301329,126.5435898065084,3.0653919302180763,0.9756801146611966
ETH-USD,Prophet,403.39708321748475,518.8355911703366,14.80249432281576,0.6004360031676943
SOL-USD,Random Forest,3.1573343667251033,4.781387374157264,2.575671629277516,0.9951606268975831
SOL-USD,ARIMA,4.080772178616598,6.2202084617209135,3.3866520613792606,0.9918098637828521
SOL-USD,LSTM,6.680549921382236,9.420913219149552,6.170177034281487,0.9805299534169531
SOL-USD,Prophet,19.733274351183773,26.398214489933867,18.984983075283232,0.8524869807772149
AVAX-USD,Random Forest,0.6783813961418377,1.0056845667952152,2.6077815970537617,0.9914388478784536
AVAX-USD,ARIMA,0.9162053974831275,1.4799552563401812,3.534841881639755,0.9814601671633466
AVAX-USD,LSTM,1.2407810682701514,1.8103412542630115,4.833899658824717,0.9726915482782573
AVAX-USD,Prophet,4.414119245589001,5.975211554969496,18.942594702169913,0.6977855570864682
